0.00.129.994 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.233.478 W srv  llama_server: -----------------
0.00.233.489 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.233.489 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.233.489 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.233.490 W srv  llama_server: -----------------
0.00.236.801 I srv    load_model: loading model 'D:\assistenteeee\scripts\..\models\QwenPaw-Flash-9B.i1-Q4_K_M.gguf'
0.00.940.057 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
1.04.181.266 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 49152, kv_unified = 'true'
1.04.322.396 I srv  llama_server: model loaded
1.04.331.464 I srv  llama_server: listening on http://127.0.0.1:8012
6.41.058.643 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
26.53.791.312 I slot print_timing: id  2 | task 6816 | n_decoded =   1357, tg =  23.16 t/s, tg_3s =  22.84 t/s
26.56.805.668 I slot print_timing: id  2 | task 6816 | n_decoded =   1426, tg =  23.14 t/s, tg_3s =  22.89 t/s
26.59.831.849 I slot print_timing: id  2 | task 6816 | n_decoded =   1494, tg =  23.11 t/s, tg_3s =  22.47 t/s
27.02.844.173 I slot print_timing: id  2 | task 6816 | n_decoded =   1563, tg =  23.10 t/s, tg_3s =  22.91 t/s
27.05.886.871 I slot print_timing: id  2 | task 6816 | n_decoded =   1633, tg =  23.10 t/s, tg_3s =  23.01 t/s
27.08.906.147 I slot print_timing: id  2 | task 6816 | n_decoded =   1702, tg =  23.09 t/s, tg_3s =  22.85 t/s
27.11.943.755 I slot print_timing: id  2 | task 6816 | n_decoded =   1771, tg =  23.07 t/s, tg_3s =  22.72 t/s
27.14.977.018 I slot print_timing: id  2 | task 6816 | n_decoded =   1840, tg =  23.06 t/s, tg_3s =  22.80 t/s
27.18.012.526 I slot print_timing: id  2 | task 6816 | n_decoded =   1909, tg =  23.05 t/s, tg_3s =  22.68 t/s
27.21.041.846 I slot print_timing: id  2 | task 6816 | n_decoded =   1978, tg =  23.04 t/s, tg_3s =  22.78 t/s
27.23.629.732 W srv          stop: cancel task, id_task = 6816
27.23.635.916 I slot      release: id  2 | task 6816 | stop processing: n_tokens = 2875, truncated = 0
27.23.635.957 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.292
27.23.706.791 I slot launch_slot_: id  2 | task 8856 | processing task, is_child = 0
27.28.067.550 I slot print_timing: id  2 | task 8856 | n_decoded =    100, tg =  23.44 t/s, tg_3s =  23.44 t/s
27.31.095.006 I slot print_timing: id  2 | task 8856 | n_decoded =    170, tg =  23.31 t/s, tg_3s =  23.12 t/s
27.34.119.218 I slot print_timing: id  2 | task 8856 | n_decoded =    240, tg =  23.26 t/s, tg_3s =  23.15 t/s
27.37.142.849 I slot print_timing: id  2 | task 8856 | n_decoded =    310, tg =  23.24 t/s, tg_3s =  23.15 t/s
27.40.181.255 I slot print_timing: id  2 | task 8856 | n_decoded =    380, tg =  23.20 t/s, tg_3s =  23.04 t/s
27.43.212.801 I slot print_timing: id  2 | task 8856 | n_decoded =    450, tg =  23.18 t/s, tg_3s =  23.09 t/s
27.46.227.097 I slot print_timing: id  2 | task 8856 | n_decoded =    519, tg =  23.14 t/s, tg_3s =  22.89 t/s
27.49.247.257 I slot print_timing: id  2 | task 8856 | n_decoded =    588, tg =  23.11 t/s, tg_3s =  22.85 t/s
27.51.075.789 I slot print_timing: id  2 | task 8856 | prompt eval time =      93.75 ms /     4 tokens (   23.44 ms per token,    42.67 tokens per second)
27.51.075.804 I slot print_timing: id  2 | task 8856 |        eval time =   27274.31 ms /   630 tokens (   43.29 ms per token,    23.10 tokens per second)
27.51.075.805 I slot print_timing: id  2 | task 8856 |       total time =   27368.06 ms /   634 tokens
27.51.075.807 I slot print_timing: id  2 | task 8856 |    graphs reused =       9369
27.51.075.958 I slot      release: id  2 | task 8856 | stop processing: n_tokens = 1468, truncated = 0
27.53.869.058 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1433284799
27.53.869.453 I slot launch_slot_: id  1 | task 9488 | processing task, is_child = 0
28.01.273.359 I slot print_timing: id  1 | task 9488 | n_decoded =    100, tg =  23.36 t/s, tg_3s =  23.36 t/s
28.04.298.314 I slot print_timing: id  1 | task 9488 | n_decoded =    170, tg =  23.27 t/s, tg_3s =  23.14 t/s
28.07.327.416 I slot print_timing: id  1 | task 9488 | n_decoded =    240, tg =  23.22 t/s, tg_3s =  23.11 t/s
28.10.351.182 I slot print_timing: id  1 | task 9488 | n_decoded =    309, tg =  23.13 t/s, tg_3s =  22.82 t/s
28.13.391.316 I slot print_timing: id  1 | task 9488 | n_decoded =    379, tg =  23.11 t/s, tg_3s =  23.03 t/s
28.16.392.122 I slot print_timing: id  1 | task 9488 | n_decoded =    447, tg =  23.04 t/s, tg_3s =  22.66 t/s
28.19.434.077 I slot print_timing: id  1 | task 9488 | n_decoded =    516, tg =  22.99 t/s, tg_3s =  22.68 t/s
28.22.441.423 I slot print_timing: id  1 | task 9488 | n_decoded =    592, tg =  23.26 t/s, tg_3s =  25.27 t/s
28.25.466.742 I slot print_timing: id  1 | task 9488 | n_decoded =    672, tg =  23.60 t/s, tg_3s =  26.44 t/s
28.28.480.898 I slot print_timing: id  1 | task 9488 | n_decoded =    752, tg =  23.88 t/s, tg_3s =  26.54 t/s
28.31.483.780 I slot print_timing: id  1 | task 9488 | n_decoded =    832, tg =  24.12 t/s, tg_3s =  26.64 t/s
28.34.489.678 I slot print_timing: id  1 | task 9488 | n_decoded =    912, tg =  24.32 t/s, tg_3s =  26.61 t/s
28.37.503.679 I slot print_timing: id  1 | task 9488 | n_decoded =    992, tg =  24.49 t/s, tg_3s =  26.54 t/s
28.40.507.365 I slot print_timing: id  1 | task 9488 | n_decoded =   1072, tg =  24.64 t/s, tg_3s =  26.63 t/s
28.43.524.174 I slot print_timing: id  1 | task 9488 | n_decoded =   1152, tg =  24.76 t/s, tg_3s =  26.52 t/s
28.46.551.203 I slot print_timing: id  1 | task 9488 | n_decoded =   1231, tg =  24.84 t/s, tg_3s =  26.10 t/s
28.49.565.111 I slot print_timing: id  1 | task 9488 | n_decoded =   1311, tg =  24.94 t/s, tg_3s =  26.54 t/s
28.52.567.137 I slot print_timing: id  1 | task 9488 | n_decoded =   1390, tg =  25.01 t/s, tg_3s =  26.32 t/s
28.55.598.405 I slot print_timing: id  1 | task 9488 | n_decoded =   1470, tg =  25.08 t/s, tg_3s =  26.39 t/s
28.58.612.118 I slot print_timing: id  1 | task 9488 | n_decoded =   1549, tg =  25.14 t/s, tg_3s =  26.21 t/s
29.01.642.736 I slot print_timing: id  1 | task 9488 | n_decoded =   1628, tg =  25.18 t/s, tg_3s =  26.07 t/s
29.04.645.563 I slot print_timing: id  1 | task 9488 | n_decoded =   1707, tg =  25.23 t/s, tg_3s =  26.31 t/s
29.07.681.753 I slot print_timing: id  1 | task 9488 | n_decoded =   1787, tg =  25.28 t/s, tg_3s =  26.35 t/s
29.10.684.156 I slot print_timing: id  1 | task 9488 | n_decoded =   1866, tg =  25.32 t/s, tg_3s =  26.31 t/s
29.13.697.425 I slot print_timing: id  1 | task 9488 | n_decoded =   1945, tg =  25.36 t/s, tg_3s =  26.22 t/s
29.16.706.980 I slot print_timing: id  1 | task 9488 | n_decoded =   2024, tg =  25.39 t/s, tg_3s =  26.25 t/s
29.19.712.126 I slot print_timing: id  1 | task 9488 | n_decoded =   2103, tg =  25.42 t/s, tg_3s =  26.29 t/s
29.22.731.126 I slot print_timing: id  1 | task 9488 | n_decoded =   2182, tg =  25.45 t/s, tg_3s =  26.17 t/s
29.25.736.728 I slot print_timing: id  1 | task 9488 | n_decoded =   2261, tg =  25.48 t/s, tg_3s =  26.28 t/s
29.28.740.830 I slot print_timing: id  1 | task 9488 | n_decoded =   2340, tg =  25.50 t/s, tg_3s =  26.30 t/s
29.31.768.119 I slot print_timing: id  1 | task 9488 | n_decoded =   2420, tg =  25.53 t/s, tg_3s =  26.43 t/s
29.34.774.769 I slot print_timing: id  1 | task 9488 | n_decoded =   2499, tg =  25.56 t/s, tg_3s =  26.27 t/s
29.37.795.052 I slot print_timing: id  1 | task 9488 | n_decoded =   2578, tg =  25.57 t/s, tg_3s =  26.16 t/s
29.40.810.246 I slot print_timing: id  1 | task 9488 | n_decoded =   2657, tg =  25.59 t/s, tg_3s =  26.20 t/s
29.43.832.133 I slot print_timing: id  1 | task 9488 | n_decoded =   2736, tg =  25.61 t/s, tg_3s =  26.14 t/s
29.46.855.316 I slot print_timing: id  1 | task 9488 | n_decoded =   2815, tg =  25.62 t/s, tg_3s =  26.13 t/s
29.47.123.204 I slot print_timing: id  1 | task 9488 | prompt eval time =    3057.63 ms /  1386 tokens (    2.21 ms per token,   453.29 tokens per second)
29.47.123.216 I slot print_timing: id  1 | task 9488 |        eval time =  110130.70 ms /  2822 tokens (   39.03 ms per token,    25.62 tokens per second)
29.47.123.217 I slot print_timing: id  1 | task 9488 |       total time =  113188.33 ms /  4208 tokens
29.47.123.218 I slot print_timing: id  1 | task 9488 |    graphs reused =      12178
29.47.123.370 I slot      release: id  1 | task 9488 | stop processing: n_tokens = 4207, truncated = 0
29.47.159.856 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1519603974
29.47.160.202 I slot launch_slot_: id  0 | task 12313 | processing task, is_child = 0
29.53.629.785 I slot print_timing: id  0 | task 12313 | n_decoded =    100, tg =  26.51 t/s, tg_3s =  26.51 t/s
29.56.665.993 I slot print_timing: id  0 | task 12313 | n_decoded =    180, tg =  26.44 t/s, tg_3s =  26.35 t/s
29.59.689.267 I slot print_timing: id  0 | task 12313 | n_decoded =    260, tg =  26.44 t/s, tg_3s =  26.46 t/s
30.02.722.404 I slot print_timing: id  0 | task 12313 | n_decoded =    340, tg =  26.43 t/s, tg_3s =  26.38 t/s
30.05.746.593 I slot print_timing: id  0 | task 12313 | n_decoded =    420, tg =  26.43 t/s, tg_3s =  26.45 t/s
30.08.761.955 I slot print_timing: id  0 | task 12313 | n_decoded =    500, tg =  26.45 t/s, tg_3s =  26.53 t/s
30.11.784.493 I slot print_timing: id  0 | task 12313 | n_decoded =    580, tg =  26.45 t/s, tg_3s =  26.47 t/s
30.14.790.154 I slot print_timing: id  0 | task 12313 | n_decoded =    659, tg =  26.43 t/s, tg_3s =  26.28 t/s
30.17.803.526 I slot print_timing: id  0 | task 12313 | n_decoded =    738, tg =  26.41 t/s, tg_3s =  26.22 t/s
30.20.826.063 I slot print_timing: id  0 | task 12313 | n_decoded =    818, tg =  26.41 t/s, tg_3s =  26.47 t/s
30.23.863.137 I slot print_timing: id  0 | task 12313 | n_decoded =    898, tg =  26.41 t/s, tg_3s =  26.34 t/s
30.26.888.322 I slot print_timing: id  0 | task 12313 | n_decoded =    978, tg =  26.41 t/s, tg_3s =  26.44 t/s
30.29.921.226 I slot print_timing: id  0 | task 12313 | n_decoded =   1058, tg =  26.41 t/s, tg_3s =  26.38 t/s
30.32.947.724 I slot print_timing: id  0 | task 12313 | n_decoded =   1138, tg =  26.41 t/s, tg_3s =  26.43 t/s
30.35.984.400 I slot print_timing: id  0 | task 12313 | n_decoded =   1218, tg =  26.41 t/s, tg_3s =  26.34 t/s
30.38.987.899 I slot print_timing: id  0 | task 12313 | n_decoded =   1297, tg =  26.40 t/s, tg_3s =  26.30 t/s
30.42.016.765 I slot print_timing: id  0 | task 12313 | n_decoded =   1366, tg =  26.19 t/s, tg_3s =  22.78 t/s
30.45.059.583 I slot print_timing: id  0 | task 12313 | n_decoded =   1434, tg =  25.98 t/s, tg_3s =  22.35 t/s
30.48.084.465 I slot print_timing: id  0 | task 12313 | n_decoded =   1502, tg =  25.80 t/s, tg_3s =  22.48 t/s
30.51.119.565 I slot print_timing: id  0 | task 12313 | n_decoded =   1570, tg =  25.63 t/s, tg_3s =  22.40 t/s
30.54.151.955 I slot print_timing: id  0 | task 12313 | n_decoded =   1638, tg =  25.48 t/s, tg_3s =  22.42 t/s
30.57.180.783 I slot print_timing: id  0 | task 12313 | n_decoded =   1706, tg =  25.34 t/s, tg_3s =  22.45 t/s
31.00.199.420 I slot print_timing: id  0 | task 12313 | n_decoded =   1773, tg =  25.21 t/s, tg_3s =  22.20 t/s
31.03.212.790 I slot print_timing: id  0 | task 12313 | n_decoded =   1840, tg =  25.08 t/s, tg_3s =  22.23 t/s
31.06.242.785 I slot print_timing: id  0 | task 12313 | n_decoded =   1907, tg =  24.97 t/s, tg_3s =  22.11 t/s
31.09.256.335 I slot print_timing: id  0 | task 12313 | n_decoded =   1974, tg =  24.86 t/s, tg_3s =  22.23 t/s
31.12.280.146 I slot print_timing: id  0 | task 12313 | n_decoded =   2041, tg =  24.76 t/s, tg_3s =  22.16 t/s
31.15.313.027 I slot print_timing: id  0 | task 12313 | n_decoded =   2108, tg =  24.67 t/s, tg_3s =  22.09 t/s
31.18.316.733 I slot print_timing: id  0 | task 12313 | n_decoded =   2175, tg =  24.59 t/s, tg_3s =  22.31 t/s
31.21.333.383 I slot print_timing: id  0 | task 12313 | n_decoded =   2242, tg =  24.51 t/s, tg_3s =  22.21 t/s
31.24.356.770 I slot print_timing: id  0 | task 12313 | n_decoded =   2309, tg =  24.43 t/s, tg_3s =  22.16 t/s
31.27.378.276 I slot print_timing: id  0 | task 12313 | n_decoded =   2376, tg =  24.36 t/s, tg_3s =  22.17 t/s
31.30.388.513 I slot print_timing: id  0 | task 12313 | n_decoded =   2443, tg =  24.30 t/s, tg_3s =  22.26 t/s
31.33.388.705 I slot print_timing: id  0 | task 12313 | n_decoded =   2510, tg =  24.24 t/s, tg_3s =  22.33 t/s
31.36.390.521 I slot print_timing: id  0 | task 12313 | n_decoded =   2577, tg =  24.19 t/s, tg_3s =  22.32 t/s
31.39.400.267 I slot print_timing: id  0 | task 12313 | n_decoded =   2644, tg =  24.14 t/s, tg_3s =  22.26 t/s
31.42.414.274 I slot print_timing: id  0 | task 12313 | n_decoded =   2711, tg =  24.09 t/s, tg_3s =  22.23 t/s
31.45.442.325 I slot print_timing: id  0 | task 12313 | n_decoded =   2777, tg =  24.03 t/s, tg_3s =  21.80 t/s
31.48.449.702 I slot print_timing: id  0 | task 12313 | n_decoded =   2844, tg =  23.98 t/s, tg_3s =  22.28 t/s
31.51.491.164 I slot print_timing: id  0 | task 12313 | n_decoded =   2911, tg =  23.93 t/s, tg_3s =  22.03 t/s
31.54.531.156 I slot print_timing: id  0 | task 12313 | n_decoded =   2978, tg =  23.89 t/s, tg_3s =  22.04 t/s
31.57.562.397 I slot print_timing: id  0 | task 12313 | n_decoded =   3045, tg =  23.84 t/s, tg_3s =  22.10 t/s
32.00.595.969 I slot print_timing: id  0 | task 12313 | n_decoded =   3112, tg =  23.80 t/s, tg_3s =  22.09 t/s
32.03.623.069 I slot print_timing: id  0 | task 12313 | n_decoded =   3179, tg =  23.77 t/s, tg_3s =  22.13 t/s
32.06.650.965 I slot print_timing: id  0 | task 12313 | n_decoded =   3246, tg =  23.73 t/s, tg_3s =  22.13 t/s
32.09.677.953 I slot print_timing: id  0 | task 12313 | n_decoded =   3313, tg =  23.69 t/s, tg_3s =  22.13 t/s
32.12.710.875 I slot print_timing: id  0 | task 12313 | n_decoded =   3380, tg =  23.66 t/s, tg_3s =  22.09 t/s
32.15.742.008 I slot print_timing: id  0 | task 12313 | n_decoded =   3447, tg =  23.63 t/s, tg_3s =  22.10 t/s
32.18.758.132 I slot print_timing: id  0 | task 12313 | n_decoded =   3514, tg =  23.60 t/s, tg_3s =  22.21 t/s
32.21.785.872 I slot print_timing: id  0 | task 12313 | n_decoded =   3581, tg =  23.57 t/s, tg_3s =  22.13 t/s
32.24.365.082 I slot print_timing: id  0 | task 12313 | prompt eval time =    2617.88 ms /  1255 tokens (    2.09 ms per token,   479.40 tokens per second)
32.24.365.093 I slot print_timing: id  0 | task 12313 |        eval time =  154508.11 ms /  3638 tokens (   42.47 ms per token,    23.55 tokens per second)
32.24.365.094 I slot print_timing: id  0 | task 12313 |       total time =  157125.99 ms /  4893 tokens
32.24.365.095 I slot print_timing: id  0 | task 12313 |    graphs reused =      15799
32.24.365.305 I slot      release: id  0 | task 12313 | stop processing: n_tokens = 4892, truncated = 0
34.25.928.292 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1552911058
34.25.928.659 I slot launch_slot_: id  3 | task 15955 | processing task, is_child = 0
34.31.725.635 I slot print_timing: id  3 | task 15955 | n_decoded =    100, tg =  25.37 t/s, tg_3s =  25.37 t/s
34.34.740.285 I slot print_timing: id  3 | task 15955 | n_decoded =    176, tg =  25.30 t/s, tg_3s =  25.21 t/s
34.37.758.336 I slot print_timing: id  3 | task 15955 | n_decoded =    251, tg =  25.16 t/s, tg_3s =  24.85 t/s
34.40.768.280 I slot print_timing: id  3 | task 15955 | n_decoded =    325, tg =  25.03 t/s, tg_3s =  24.59 t/s
34.43.794.500 I slot print_timing: id  3 | task 15955 | n_decoded =    399, tg =  24.92 t/s, tg_3s =  24.45 t/s
34.46.826.980 I slot print_timing: id  3 | task 15955 | n_decoded =    473, tg =  24.84 t/s, tg_3s =  24.40 t/s
34.49.836.133 I slot print_timing: id  3 | task 15955 | n_decoded =    546, tg =  24.76 t/s, tg_3s =  24.26 t/s
34.52.846.758 I slot print_timing: id  3 | task 15955 | n_decoded =    619, tg =  24.70 t/s, tg_3s =  24.25 t/s
34.55.846.809 I slot print_timing: id  3 | task 15955 | n_decoded =    692, tg =  24.66 t/s, tg_3s =  24.33 t/s
34.58.877.659 I slot print_timing: id  3 | task 15955 | n_decoded =    765, tg =  24.60 t/s, tg_3s =  24.09 t/s
35.01.884.171 I slot print_timing: id  3 | task 15955 | n_decoded =    838, tg =  24.57 t/s, tg_3s =  24.28 t/s
35.04.911.467 I slot print_timing: id  3 | task 15955 | n_decoded =    911, tg =  24.54 t/s, tg_3s =  24.11 t/s
35.07.507.447 I slot print_timing: id  3 | task 15955 | prompt eval time =    1743.04 ms /   806 tokens (    2.16 ms per token,   462.41 tokens per second)
35.07.507.455 I slot print_timing: id  3 | task 15955 |        eval time =   39723.51 ms /   974 tokens (   40.78 ms per token,    24.52 tokens per second)
35.07.507.457 I slot print_timing: id  3 | task 15955 |       total time =   41466.55 ms /  1780 tokens
35.07.507.458 I slot print_timing: id  3 | task 15955 |    graphs reused =      16768
35.07.507.626 I slot      release: id  3 | task 15955 | stop processing: n_tokens = 1779, truncated = 0
35.31.031.744 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1670950711
35.31.042.571 I slot launch_slot_: id  2 | task 16937 | processing task, is_child = 0
35.35.029.703 I slot print_timing: id  2 | task 16937 | prompt processing, n_tokens =   2064, progress = 0.46, t =   3.84 s / 537.24 tokens per second
35.38.249.666 I slot print_timing: id  2 | task 16937 | prompt processing, n_tokens =   3980, progress = 0.89, t =   7.06 s / 563.60 tokens per second
35.39.015.411 I slot print_timing: id  2 | task 16937 | prompt processing, n_tokens =   4248, progress = 0.94, t =   7.83 s / 542.70 tokens per second
35.39.639.071 I slot print_timing: id  2 | task 16937 | prompt processing, n_tokens =   4492, progress = 1.00, t =   8.45 s / 531.52 tokens per second
35.43.965.150 I slot print_timing: id  2 | task 16937 | prompt eval time =    9016.00 ms /  4496 tokens (    2.01 ms per token,   498.67 tokens per second)
35.43.965.157 I slot print_timing: id  2 | task 16937 |        eval time =    3761.26 ms /    87 tokens (   43.23 ms per token,    23.13 tokens per second)
35.43.965.159 I slot print_timing: id  2 | task 16937 |       total time =   12777.26 ms /  4583 tokens
35.43.965.160 I slot print_timing: id  2 | task 16937 |    graphs reused =      16853
35.43.968.231 I slot      release: id  2 | task 16937 | stop processing: n_tokens = 4582, truncated = 0
35.47.524.871 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.644 (> 0.100 thold), f_keep = 1.000
35.47.526.068 I slot launch_slot_: id  2 | task 17031 | processing task, is_child = 0
35.50.882.661 I slot print_timing: id  2 | task 17031 | prompt processing, n_tokens =   2017, progress = 0.93, t =   3.36 s / 600.96 tokens per second
35.51.989.977 I slot print_timing: id  2 | task 17031 | prompt processing, n_tokens =   2529, progress = 1.00, t =   4.46 s / 566.58 tokens per second
35.56.607.862 I slot print_timing: id  2 | task 17031 | prompt eval time =    5560.19 ms /  2533 tokens (    2.20 ms per token,   455.56 tokens per second)
35.56.607.868 I slot print_timing: id  2 | task 17031 |        eval time =    3521.32 ms /    83 tokens (   42.43 ms per token,    23.57 tokens per second)
35.56.607.870 I slot print_timing: id  2 | task 17031 |       total time =    9081.50 ms /  2616 tokens
35.56.607.871 I slot print_timing: id  2 | task 17031 |    graphs reused =      16933
35.56.612.254 I slot      release: id  2 | task 17031 | stop processing: n_tokens = 7197, truncated = 0
35.56.695.643 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1786998115
35.56.696.664 I slot launch_slot_: id  1 | task 17119 | processing task, is_child = 0
36.03.686.847 I slot print_timing: id  1 | task 17119 | prompt processing, n_tokens =   4096, progress = 0.64, t =   6.86 s / 597.20 tokens per second
36.04.733.844 I slot print_timing: id  1 | task 17119 | prompt processing, n_tokens =   4488, progress = 0.70, t =   7.91 s / 567.69 tokens per second
36.07.795.424 I slot print_timing: id  1 | task 17119 | prompt processing, n_tokens =   5917, progress = 0.92, t =  10.97 s / 539.51 tokens per second
36.08.749.186 I slot print_timing: id  1 | task 17119 | prompt processing, n_tokens =   6185, progress = 0.96, t =  11.92 s / 518.83 tokens per second
36.09.406.656 I slot print_timing: id  1 | task 17119 | prompt processing, n_tokens =   6429, progress = 1.00, t =  12.58 s / 511.11 tokens per second
36.14.329.831 I slot print_timing: id  1 | task 17119 | n_decoded =    100, tg =  23.13 t/s, tg_3s =  23.13 t/s
36.15.478.995 I slot print_timing: id  1 | task 17119 | prompt eval time =   13178.11 ms /  6433 tokens (    2.05 ms per token,   488.16 tokens per second)
36.15.479.057 I slot print_timing: id  1 | task 17119 |        eval time =    5472.71 ms /   126 tokens (   43.43 ms per token,    23.02 tokens per second)
36.15.479.065 I slot print_timing: id  1 | task 17119 |       total time =   18650.82 ms /  6559 tokens
36.15.479.067 I slot print_timing: id  1 | task 17119 |    graphs reused =      17057
36.15.479.484 I slot      release: id  1 | task 17119 | stop processing: n_tokens = 6558, truncated = 0
36.15.623.284 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1944240051
36.15.668.995 I slot launch_slot_: id  0 | task 17252 | processing task, is_child = 0
36.19.599.975 I slot print_timing: id  0 | task 17252 | prompt processing, n_tokens =   2048, progress = 0.42, t =   3.79 s / 540.46 tokens per second
36.24.438.979 I slot print_timing: id  0 | task 17252 | prompt processing, n_tokens =   4096, progress = 0.64, t =   8.63 s / 474.71 tokens per second
36.28.076.629 I slot print_timing: id  0 | task 17252 | prompt processing, n_tokens =   5125, progress = 0.74, t =  12.27 s / 417.82 tokens per second
36.31.973.038 I slot print_timing: id  0 | task 17252 | prompt processing, n_tokens =   7082, progress = 0.95, t =  16.16 s / 438.18 tokens per second
36.33.110.925 I slot print_timing: id  0 | task 17252 | prompt processing, n_tokens =   7594, progress = 1.00, t =  17.30 s / 438.95 tokens per second
36.38.640.388 I slot print_timing: id  0 | task 17252 | n_decoded =    100, tg =  23.65 t/s, tg_3s =  23.65 t/s
36.41.679.492 I slot print_timing: id  0 | task 17252 | n_decoded =    170, tg =  23.39 t/s, tg_3s =  23.03 t/s
36.44.709.455 I slot print_timing: id  0 | task 17252 | n_decoded =    240, tg =  23.31 t/s, tg_3s =  23.10 t/s
36.45.963.178 I slot print_timing: id  0 | task 17252 | prompt eval time =   18600.86 ms /  7598 tokens (    2.45 ms per token,   408.48 tokens per second)
36.45.963.187 I slot print_timing: id  0 | task 17252 |        eval time =   11551.70 ms /   269 tokens (   42.94 ms per token,    23.29 tokens per second)
36.45.963.190 I slot print_timing: id  0 | task 17252 |       total time =   30152.55 ms /  7867 tokens
36.45.963.192 I slot print_timing: id  0 | task 17252 |    graphs reused =      17334
36.45.964.032 I slot      release: id  0 | task 17252 | stop processing: n_tokens = 9903, truncated = 0
36.46.136.666 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2107382373
36.46.175.108 I slot launch_slot_: id  3 | task 17527 | processing task, is_child = 0
36.50.968.710 I slot print_timing: id  3 | task 17527 | prompt processing, n_tokens =   2050, progress = 0.94, t =   4.65 s / 440.55 tokens per second
36.52.390.812 I slot print_timing: id  3 | task 17527 | prompt processing, n_tokens =   2055, progress = 0.94, t =   6.08 s / 338.25 tokens per second
36.52.560.776 I slot print_timing: id  3 | task 17527 | prompt processing, n_tokens =   2567, progress = 1.00, t =   6.25 s / 411.03 tokens per second
36.57.483.241 I slot print_timing: id  3 | task 17527 | prompt eval time =    7784.51 ms /  2571 tokens (    3.03 ms per token,   330.27 tokens per second)
36.57.483.251 I slot print_timing: id  3 | task 17527 |        eval time =    3383.24 ms /    77 tokens (   43.94 ms per token,    22.76 tokens per second)
36.57.483.253 I slot print_timing: id  3 | task 17527 |       total time =   11167.76 ms /  2648 tokens
36.57.483.254 I slot print_timing: id  3 | task 17527 |    graphs reused =      17412
36.57.484.883 I slot      release: id  3 | task 17527 | stop processing: n_tokens = 9205, truncated = 0
36.57.577.810 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2156487001
36.57.636.674 I slot launch_slot_: id  2 | task 17609 | processing task, is_child = 0
37.03.806.936 I slot print_timing: id  2 | task 17609 | n_decoded =    100, tg =  23.47 t/s, tg_3s =  23.47 t/s
37.06.816.411 I slot print_timing: id  2 | task 17609 | n_decoded =    171, tg =  23.52 t/s, tg_3s =  23.59 t/s
37.09.819.815 I slot print_timing: id  2 | task 17609 | n_decoded =    243, tg =  23.65 t/s, tg_3s =  23.97 t/s
37.10.741.057 I slot print_timing: id  2 | task 17609 | prompt eval time =    1796.50 ms /   758 tokens (    2.37 ms per token,   421.93 tokens per second)
37.10.741.067 I slot print_timing: id  2 | task 17609 |        eval time =   11194.84 ms /   265 tokens (   42.24 ms per token,    23.67 tokens per second)
37.10.741.069 I slot print_timing: id  2 | task 17609 |       total time =   12991.35 ms /  1023 tokens
37.10.741.070 I slot print_timing: id  2 | task 17609 |    graphs reused =      17675
37.10.741.211 I slot      release: id  2 | task 17609 | stop processing: n_tokens = 1227, truncated = 0
37.10.826.079 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2175354229
37.14.318.829 I slot launch_slot_: id  1 | task 17877 | processing task, is_child = 0
37.18.232.859 I slot print_timing: id  1 | task 17877 | prompt processing, n_tokens =   2048, progress = 0.71, t =   3.81 s / 537.60 tokens per second
37.23.269.054 I slot print_timing: id  1 | task 17877 | prompt processing, n_tokens =   4096, progress = 0.93, t =   8.85 s / 463.05 tokens per second
37.24.471.568 I slot print_timing: id  1 | task 17877 | prompt processing, n_tokens =   4225, progress = 0.94, t =  10.05 s / 420.47 tokens per second
37.24.939.378 I slot print_timing: id  1 | task 17877 | prompt processing, n_tokens =   4644, progress = 0.99, t =  10.52 s / 441.61 tokens per second
37.26.016.650 I slot print_timing: id  1 | task 17877 | prompt processing, n_tokens =   4737, progress = 1.00, t =  11.59 s / 408.60 tokens per second
37.29.237.655 I slot print_timing: id  1 | task 17877 | prompt eval time =   11931.25 ms /  4741 tokens (    2.52 ms per token,   397.36 tokens per second)
37.29.237.662 I slot print_timing: id  1 | task 17877 |        eval time =    2882.99 ms /    68 tokens (   42.40 ms per token,    23.59 tokens per second)
